subject,snippet,from_domain,label
Application outcome — Databricks,"We appreciate the opportunity to review your application. However, we will not be moving forward. We encourage you to apply again in the future if another role aligns with your experience.",icims.com,REJECTED
Regarding your application at Netflix,Thank you for your application to the Applied Scientist position. We regret to inform you that we have chosen to move forward with other candidates. Thank you for your interest in our company and for applying.,myworkday.com,REJECTED
Your Figma application,"We appreciate your application for the Data Analyst role at Figma. Unfortunately, unfortunately. We appreciate your interest and wish you the best in your career journey.",noreply.greenhouse.io,REJECTED
Adobe: Hiring decision for Full‑Stack Engineer,"We appreciate the opportunity to review your application. However, we regret to inform you. We appreciate the time and effort you invested in your application.",taleo.net,REJECTED
Nvidia Careers — Software Engineer,"We appreciate your application for the Software Engineer role at Nvidia. Unfortunately, your application was not selected. Thank you for your interest in our company and for applying.",myworkday.com,REJECTED
Your Palantir application,Thank you for your application to the Product Manager position. We regret to inform you that we have concluded our hiring process. Thank you for your interest in our company and for applying.,jobs.company.com,REJECTED
Regarding your application at Airbnb,"We appreciate your application for the Backend Engineer role at Airbnb. Unfortunately, we have chosen to move forward with other candidates. We appreciate the time and effort you invested in your application.",successfactors.com,REJECTED
Meta — Application Status (Solutions Engineer),"After careful review of your background and experience, your application was not selected. Thank you for your interest in our company and for applying.",recruiting.company.com,REJECTED
Regarding your application at Palantir,Thank you for your application to the DevOps Engineer position. We regret to inform you that unfortunately. We wish you success in your future job search.,myworkday.com,REJECTED
Your Coinbase application,"We appreciate the opportunity to review your application. However, we regret to inform you. We encourage you to apply again in the future if another role aligns with your experience.",notifications.lever.co,REJECTED
Your Amazon application,"We appreciate your application for the Software Engineer role at Amazon. Unfortunately, unfortunately. Thank you for your interest in our company and for applying.",greenhouse.io,REJECTED
Salesforce: Hiring decision for Security Engineer,"After careful review of your background and experience, the position has been filled. We appreciate your interest and wish you the best in your career journey.",notifications.lever.co,REJECTED
Okta: Hiring decision for DevOps Engineer,"We value your interest in joining Okta. At this time, we have concluded our hiring process. We appreciate the time and effort you invested in your application.",successfactors.com,REJECTED
Your Okta application,"We appreciate the opportunity to review your application. However, unfortunately. We wish you success in your future job search.",notifications.lever.co,REJECTED
Application outcome — DoorDash,"Thank you for your interest in the Site Reliability Engineer position at DoorDash. After careful consideration, your application was not selected. We appreciate the time and effort you invested in your application.",noreply.workday.com,REJECTED
DoorDash — Application Status (QA Engineer),Thank you for your application to the QA Engineer position. We regret to inform you that your application was not selected. We wish you success in your future job search.,noreply.workday.com,REJECTED
ServiceNow: Hiring decision for ML Engineer,"We value your interest in joining ServiceNow. At this time, we have concluded our hiring process. We appreciate the time and effort you invested in your application.",careers.company.com,REJECTED
Meta — Application Status (QA Engineer),"We appreciate your application for the QA Engineer role at Meta. Unfortunately, unfortunately. Thank you for your interest in our company and for applying.",jobs.company.com,REJECTED
Your Microsoft application,"Thank you for your interest in the Frontend Engineer position at Microsoft. After careful consideration, the position has been filled. We wish you success in your future job search.",jobs.company.com,REJECTED
Application outcome — VMware,"We appreciate the opportunity to review your application. However, we will not be moving forward. We wish you success in your future job search.",successfactors.com,REJECTED
Your Google application,"Thank you for taking the time to apply to Google. After reviewing your application, the position has been filled. We appreciate your interest and wish you the best in your career journey.",successfactors.com,REJECTED
Shopify Recruiting Team — Update,"We appreciate the opportunity to review your application. However, we regret to inform you. We wish you success in your future job search.",careers.company.com,REJECTED
Regarding your application at Coinbase,"Thank you for your interest in the ML Engineer position at Coinbase. After careful consideration, we will not be moving forward. We appreciate your interest and wish you the best in your career journey.",lever.co,REJECTED
Update on your application — Coinbase,"We value your interest in joining Coinbase. At this time, the position has been filled. We wish you success in your future job search.",greenhouse.io,REJECTED
Regarding your application at Figma,"We appreciate the opportunity to review your application. However, we have decided not to proceed. We appreciate your interest and wish you the best in your career journey.",notifications.lever.co,REJECTED
Your Bloomberg application,"After careful review of your background and experience, we have decided not to proceed. We appreciate your interest and wish you the best in your career journey.",notifications.lever.co,REJECTED
Tesla Recruiting Team — Update,"Thank you for considering Tesla as a potential employer. Unfortunately, your application was not selected. We encourage you to apply again in the future if another role aligns with your experience.",recruiting.company.com,REJECTED
Twilio Recruiting Team — Update,"Thank you for your interest in the Full‑Stack Engineer position at Twilio. After careful consideration, we will not be moving forward. We encourage you to apply again in the future if another role aligns with your experi",workday.com,REJECTED
Update on your application — Intuit,"Thank you for taking the time to apply to Intuit. After reviewing your application, the position has been filled. We encourage you to apply again in the future if another role aligns with your experience.",noreply.greenhouse.io,REJECTED
Your Netflix application,"Thank you for taking the time to apply to Netflix. After reviewing your application, your application was not selected. We appreciate your interest and wish you the best in your career journey.",noreply.workday.com,REJECTED
Your Salesforce application,"Thank you for your interest in the Software Engineer position at Salesforce. After careful consideration, the position has been filled. Thank you for your interest in our company and for applying.",notifications.lever.co,REJECTED
Regarding your application at Oracle,"We appreciate your application for the Applied Scientist role at Oracle. Unfortunately, the position has been filled. We appreciate your interest and wish you the best in your career journey.",noreply.greenhouse.io,REJECTED
Your Microsoft application,Thank you for your application to the QA Engineer position. We regret to inform you that we have concluded our hiring process. Thank you for your interest in our company and for applying.,workday.com,REJECTED
Update on your application — DoorDash,"Thank you for considering DoorDash as a potential employer. Unfortunately, we will not be moving forward. We encourage you to apply again in the future if another role aligns with your experience.",smartrecruiters.com,REJECTED
Update on your application — VMware,"Thank you for taking the time to apply to VMware. After reviewing your application, the position has been filled. Thank you for your interest in our company and for applying.",noreply.workday.com,REJECTED
Snowflake — Application Status (Product Manager),"Thank you for your interest in the Product Manager position at Snowflake. After careful consideration, we will not be moving forward. Thank you for your interest in our company and for applying.",greenhouse.io,REJECTED
Regarding your application at Bloomberg,"We value your interest in joining Bloomberg. At this time, your application was not selected. We wish you success in your future job search.",smartrecruiters.com,REJECTED
Airbnb — Application Status (Backend Engineer),"We appreciate the opportunity to review your application. However, your application was not selected. We encourage you to apply again in the future if another role aligns with your experience.",lever.co,REJECTED
Coinbase Recruiting Team — Update,"Thank you for considering Coinbase as a potential employer. Unfortunately, we have chosen to move forward with other candidates. We appreciate the time and effort you invested in your application.",myworkday.com,REJECTED
Uber: Hiring decision for Product Manager,"Thank you for considering Uber as a potential employer. Unfortunately, the position has been filled. Thank you for your interest in our company and for applying.",notifications.lever.co,REJECTED
Intuit Recruiting Team — Update,Thank you for your application to the Backend Engineer position. We regret to inform you that unfortunately. We appreciate the time and effort you invested in your application.,noreply.greenhouse.io,REJECTED
Application outcome — Coinbase,"After careful review of your background and experience, we have decided not to proceed. Thank you for your interest in our company and for applying.",myworkday.com,REJECTED
Regarding your application at Snowflake,"We value your interest in joining Snowflake. At this time, we will not be progressing with your application. We encourage you to apply again in the future if another role aligns with your experience.",myworkday.com,REJECTED
Application outcome — Okta,"We value your interest in joining Okta. At this time, your application was not selected. We wish you success in your future job search.",successfactors.com,REJECTED
Your Stripe application,"After careful review of your background and experience, we have concluded our hiring process. Thank you for your interest in our company and for applying.",successfactors.com,REJECTED
Regarding your application at Uber,Thank you for your application to the ML Engineer position. We regret to inform you that we have chosen to move forward with other candidates. We encourage you to apply again in the future if another role aligns with you,icims.com,REJECTED
Shopify — Application Status (ML Engineer),Thank you for your application to the ML Engineer position. We regret to inform you that we will not be moving forward. We appreciate your interest and wish you the best in your career journey.,noreply.greenhouse.io,REJECTED
Update on your application — DoorDash,"After careful review of your background and experience, we will not be progressing with your application. We encourage you to apply again in the future if another role aligns with your experience.",successfactors.com,REJECTED
ServiceNow Careers — ML Engineer,"We appreciate the opportunity to review your application. However, unfortunately. We encourage you to apply again in the future if another role aligns with your experience.",recruiting.company.com,REJECTED
Regarding your application at Intuit,"Thank you for your interest in the Security Engineer position at Intuit. After careful consideration, your application was not selected. We appreciate the time and effort you invested in your application.",successfactors.com,REJECTED
Application outcome — Palantir,"Thank you for considering Palantir as a potential employer. Unfortunately, we have chosen to move forward with other candidates. Thank you for your interest in our company and for applying.",myworkday.com,REJECTED
Figma Careers — ML Engineer,"We appreciate your application for the ML Engineer role at Figma. Unfortunately, we regret to inform you. We appreciate the time and effort you invested in your application.",noreply.greenhouse.io,REJECTED
Palantir Recruiting Team — Update,Thank you for your application to the ML Engineer position. We regret to inform you that we regret to inform you. Thank you for your interest in our company and for applying.,noreply.greenhouse.io,REJECTED
Update on your application — Bloomberg,"We appreciate your application for the Backend Engineer role at Bloomberg. Unfortunately, the position has been filled. Thank you for your interest in our company and for applying.",careers.company.com,REJECTED
Regarding your application at Stripe,Thank you for your application to the ML Engineer position. We regret to inform you that we have decided not to proceed. We encourage you to apply again in the future if another role aligns with your experience.,smartrecruiters.com,REJECTED
Atlassian Recruiting Team — Update,Thank you for your application to the ML Engineer position. We regret to inform you that your application was not selected. We wish you success in your future job search.,jobs.company.com,REJECTED
Notion Recruiting Team — Update,"Thank you for taking the time to apply to Notion. After reviewing your application, we have chosen to move forward with other candidates. We appreciate the time and effort you invested in your application.",recruiting.company.com,REJECTED
Google Recruiting Team — Update,"We value your interest in joining Google. At this time, your application was not selected. We wish you success in your future job search.",notifications.lever.co,REJECTED
Bloomberg Careers — Data Scientist,"Thank you for your interest in the Data Scientist position at Bloomberg. After careful consideration, the position has been filled. We encourage you to apply again in the future if another role aligns with your experienc",icims.com,REJECTED
Your ServiceNow application,"Thank you for considering ServiceNow as a potential employer. Unfortunately, unfortunately. We appreciate your interest and wish you the best in your career journey.",recruiting.company.com,REJECTED
Netflix: Hiring decision for Site Reliability Engineer,"Thank you for considering Netflix as a potential employer. Unfortunately, the position has been filled. We appreciate your interest and wish you the best in your career journey.",jobs.company.com,REJECTED
Snowflake — Application Status (Security Engineer),"Thank you for taking the time to apply to Snowflake. After reviewing your application, your application was not selected. We wish you success in your future job search.",workday.com,REJECTED
Application outcome — Coinbase,"We appreciate your application for the Site Reliability Engineer role at Coinbase. Unfortunately, the position has been filled. We appreciate your interest and wish you the best in your career journey.",notifications.lever.co,REJECTED
Application outcome — Adobe,"Thank you for taking the time to apply to Adobe. After reviewing your application, we will not be progressing with your application. Thank you for your interest in our company and for applying.",smartrecruiters.com,REJECTED
Adobe: Hiring decision for Solutions Engineer,"After careful review of your background and experience, we have chosen to move forward with other candidates. We encourage you to apply again in the future if another role aligns with your experience.",workday.com,REJECTED
Regarding your application at Oracle,"Thank you for taking the time to apply to Oracle. After reviewing your application, we have concluded our hiring process. We appreciate your interest and wish you the best in your career journey.",smartrecruiters.com,REJECTED
Update on your application — Stripe,Thank you for your application to the Frontend Engineer position. We regret to inform you that we have concluded our hiring process. We appreciate the time and effort you invested in your application.,noreply.greenhouse.io,REJECTED
Twilio: Hiring decision for Site Reliability Engineer,"Thank you for taking the time to apply to Twilio. After reviewing your application, we will not be moving forward. Thank you for your interest in our company and for applying.",icims.com,REJECTED
Regarding your application at Okta,"Thank you for taking the time to apply to Okta. After reviewing your application, we will not be moving forward. We appreciate the time and effort you invested in your application.",noreply.greenhouse.io,REJECTED
Update on your application — ServiceNow,Thank you for your application to the Security Engineer position. We regret to inform you that we have concluded our hiring process. We encourage you to apply again in the future if another role aligns with your experien,careers.company.com,REJECTED
Shopify Recruiting Team — Update,"We appreciate the opportunity to review your application. However, your application was not selected. We appreciate your interest and wish you the best in your career journey.",lever.co,REJECTED
Stripe Recruiting Team — Update,"Thank you for your interest in the ML Engineer position at Stripe. After careful consideration, we will not be moving forward. We appreciate your interest and wish you the best in your career journey.",greenhouse.io,REJECTED
Your Meta application,"After careful review of your background and experience, your application was not selected. We appreciate your interest and wish you the best in your career journey.",notifications.lever.co,REJECTED
Google — Application Status (Frontend Engineer),"We appreciate the opportunity to review your application. However, the position has been filled. Thank you for your interest in our company and for applying.",notifications.lever.co,REJECTED
VMware Recruiting Team — Update,"We value your interest in joining VMware. At this time, we will not be moving forward. Thank you for your interest in our company and for applying.",smartrecruiters.com,REJECTED
Application outcome — Bloomberg,"Thank you for considering Bloomberg as a potential employer. Unfortunately, the position has been filled. We encourage you to apply again in the future if another role aligns with your experience.",noreply.workday.com,REJECTED
Bloomberg Recruiting Team — Update,"Thank you for considering Bloomberg as a potential employer. Unfortunately, we have decided not to proceed. We wish you success in your future job search.",recruiting.company.com,REJECTED
Netflix — Application Status (Full‑Stack Engineer),"After careful review of your background and experience, we have decided not to proceed. We appreciate the time and effort you invested in your application.",noreply.greenhouse.io,REJECTED
Application outcome — Databricks,"We value your interest in joining Databricks. At this time, we will not be moving forward. Thank you for your interest in our company and for applying.",recruiting.company.com,REJECTED
Your VMware application,Thank you for your application to the Software Engineer position. We regret to inform you that the position has been filled. Thank you for your interest in our company and for applying.,recruiting.company.com,REJECTED
Bloomberg Recruiting Team — Update,Thank you for your application to the Applied Scientist position. We regret to inform you that we regret to inform you. We encourage you to apply again in the future if another role aligns with your experience.,careers.company.com,REJECTED
Regarding your application at Intuit,"We value your interest in joining Intuit. At this time, we will not be moving forward. We appreciate the time and effort you invested in your application.",noreply.greenhouse.io,REJECTED
Coinbase: Hiring decision for Security Engineer,"We appreciate your application for the Security Engineer role at Coinbase. Unfortunately, unfortunately. We encourage you to apply again in the future if another role aligns with your experience.",taleo.net,REJECTED
Update on your application — Palantir,"We appreciate your application for the Data Scientist role at Palantir. Unfortunately, we regret to inform you. We appreciate the time and effort you invested in your application.",jobs.company.com,REJECTED
Zoom Recruiting Team — Update,"Thank you for considering Zoom as a potential employer. Unfortunately, unfortunately. We encourage you to apply again in the future if another role aligns with your experience.",noreply.greenhouse.io,REJECTED
Google — Application Status (Frontend Engineer),"We appreciate the opportunity to review your application. However, your application was not selected. Thank you for your interest in our company and for applying.",greenhouse.io,REJECTED
Update on your application — Netflix,"We appreciate your application for the Frontend Engineer role at Netflix. Unfortunately, the position has been filled. We wish you success in your future job search.",greenhouse.io,REJECTED
Uber Recruiting Team — Update,"We value your interest in joining Uber. At this time, your application was not selected. Thank you for your interest in our company and for applying.",icims.com,REJECTED
Snowflake Careers — QA Engineer,"After careful review of your background and experience, we will not be progressing with your application. Thank you for your interest in our company and for applying.",successfactors.com,REJECTED
Regarding your application at ServiceNow,"Thank you for considering ServiceNow as a potential employer. Unfortunately, we will not be progressing with your application. Thank you for your interest in our company and for applying.",jobs.company.com,REJECTED
Application outcome — Tesla,"Thank you for considering Tesla as a potential employer. Unfortunately, unfortunately. We appreciate your interest and wish you the best in your career journey.",taleo.net,REJECTED
Update on your application — Google,"Thank you for considering Google as a potential employer. Unfortunately, we have decided not to proceed. We encourage you to apply again in the future if another role aligns with your experience.",noreply.workday.com,REJECTED
Your Airbnb application,"We appreciate the opportunity to review your application. However, we have decided not to proceed. We appreciate your interest and wish you the best in your career journey.",myworkday.com,REJECTED
Google — Application Status (ML Engineer),"After careful review of your background and experience, we have concluded our hiring process. We appreciate your interest and wish you the best in your career journey.",workday.com,REJECTED
Adobe Recruiting Team — Update,"We appreciate the opportunity to review your application. However, unfortunately. We appreciate your interest and wish you the best in your career journey.",workday.com,REJECTED
Update on your application — Uber,"We value your interest in joining Uber. At this time, unfortunately. We encourage you to apply again in the future if another role aligns with your experience.",successfactors.com,REJECTED
Your Tesla application,"After careful review of your background and experience, we have chosen to move forward with other candidates. Thank you for your interest in our company and for applying.",careers.company.com,REJECTED
Netflix — Application Status (Data Scientist),"Thank you for considering Netflix as a potential employer. Unfortunately, we will not be moving forward. We appreciate the time and effort you invested in your application.",smartrecruiters.com,REJECTED
Update on your application — Microsoft,"We value your interest in joining Microsoft. At this time, we will not be progressing with your application. We appreciate your interest and wish you the best in your career journey.",recruiting.company.com,REJECTED
Figma — Application Status (Software Engineer),Thank you for your application to the Software Engineer position. We regret to inform you that we have chosen to move forward with other candidates. We appreciate the time and effort you invested in your application.,workday.com,REJECTED
Update on your application — Adobe,"Thank you for considering Adobe as a potential employer. Unfortunately, we have chosen to move forward with other candidates. We appreciate your interest and wish you the best in your career journey.",recruiting.company.com,REJECTED
Coinbase Careers — Backend Engineer,"Thank you for considering Coinbase as a potential employer. Unfortunately, the position has been filled. Thank you for your interest in our company and for applying.",careers.company.com,REJECTED
Application outcome — Meta,"Thank you for considering Meta as a potential employer. Unfortunately, your application was not selected. Thank you for your interest in our company and for applying.",careers.company.com,REJECTED
Application outcome — Netflix,"We appreciate your application for the Full‑Stack Engineer role at Netflix. Unfortunately, we regret to inform you. We appreciate the time and effort you invested in your application.",successfactors.com,REJECTED
Zoom Careers — Security Engineer,"Thank you for taking the time to apply to Zoom. After reviewing your application, we have concluded our hiring process. Thank you for your interest in our company and for applying.",workday.com,REJECTED
Regarding your application at Tesla,"Thank you for considering Tesla as a potential employer. Unfortunately, your application was not selected. We encourage you to apply again in the future if another role aligns with your experience.",icims.com,REJECTED
Regarding your application at Netflix,"We value your interest in joining Netflix. At this time, your application was not selected. We appreciate the time and effort you invested in your application.",noreply.workday.com,REJECTED
Figma Recruiting Team — Update,"We appreciate your application for the Site Reliability Engineer role at Figma. Unfortunately, we will not be moving forward. We wish you success in your future job search.",workday.com,REJECTED
Update on your application — Atlassian,Thank you for your application to the Product Manager position. We regret to inform you that your application was not selected. We appreciate the time and effort you invested in your application.,noreply.workday.com,REJECTED
Amazon Recruiting Team — Update,"We appreciate your application for the Software Engineer role at Amazon. Unfortunately, your application was not selected. Thank you for your interest in our company and for applying.",noreply.workday.com,REJECTED
LinkedIn Recruiting Team — Update,"We appreciate your application for the Security Engineer role at LinkedIn. Unfortunately, we will not be progressing with your application. Thank you for your interest in our company and for applying.",jobs.company.com,REJECTED
Your Apple application,"Thank you for taking the time to apply to Apple. After reviewing your application, we regret to inform you. We appreciate your interest and wish you the best in your career journey.",careers.company.com,REJECTED
Your ServiceNow application,"Thank you for taking the time to apply to ServiceNow. After reviewing your application, we regret to inform you. We encourage you to apply again in the future if another role aligns with your experience.",jobs.company.com,REJECTED
Cisco — Application Status (Security Engineer),"We appreciate your application for the Security Engineer role at Cisco. Unfortunately, we regret to inform you. We encourage you to apply again in the future if another role aligns with your experience.",jobs.company.com,REJECTED
Shopify — Application Status (Site Reliability Engineer),"We appreciate the opportunity to review your application. However, your application was not selected. We encourage you to apply again in the future if another role aligns with your experience.",noreply.greenhouse.io,REJECTED
Palantir Recruiting Team — Update,"We appreciate the opportunity to review your application. However, we will not be progressing with your application. We wish you success in your future job search.",icims.com,REJECTED
Update on your application — Figma,"We value your interest in joining Figma. At this time, your application was not selected. Thank you for your interest in our company and for applying.",lever.co,REJECTED
Adobe: Hiring decision for QA Engineer,"Thank you for taking the time to apply to Adobe. After reviewing your application, we have chosen to move forward with other candidates. We encourage you to apply again in the future if another role aligns with your expe",smartrecruiters.com,REJECTED
Application outcome — Adobe,Thank you for your application to the DevOps Engineer position. We regret to inform you that the position has been filled. We wish you success in your future job search.,careers.company.com,REJECTED
Your Intuit application,"Thank you for your interest in the Site Reliability Engineer position at Intuit. After careful consideration, we will not be progressing with your application. Thank you for your interest in our company and for applying.",workday.com,REJECTED
Regarding your application at Tesla,"Thank you for considering Tesla as a potential employer. Unfortunately, we will not be moving forward. We encourage you to apply again in the future if another role aligns with your experience.",recruiting.company.com,REJECTED
Your Cisco application,"Thank you for your interest in the Security Engineer position at Cisco. After careful consideration, we will not be progressing with your application. We appreciate the time and effort you invested in your application.",jobs.company.com,REJECTED
Your Atlassian application,"After careful review of your background and experience, we have chosen to move forward with other candidates. We encourage you to apply again in the future if another role aligns with your experience.",smartrecruiters.com,REJECTED
VMware Careers — Applied Scientist,"We appreciate the opportunity to review your application. However, we have concluded our hiring process. We wish you success in your future job search.",notifications.lever.co,REJECTED
Intuit Careers — Site Reliability Engineer,"Thank you for taking the time to apply to Intuit. After reviewing your application, we regret to inform you. We appreciate the time and effort you invested in your application.",smartrecruiters.com,REJECTED
Tesla — Application Status (ML Engineer),"We appreciate your application for the ML Engineer role at Tesla. Unfortunately, we regret to inform you. We appreciate your interest and wish you the best in your career journey.",lever.co,REJECTED
Adobe: Hiring decision for Applied Scientist,"We appreciate your application for the Applied Scientist role at Adobe. Unfortunately, unfortunately. We encourage you to apply again in the future if another role aligns with your experience.",jobs.company.com,REJECTED
ServiceNow — Application Status (Full‑Stack Engineer),"We appreciate your application for the Full‑Stack Engineer role at ServiceNow. Unfortunately, your application was not selected. We wish you success in your future job search.",greenhouse.io,REJECTED
Application outcome — Atlassian,"We appreciate your application for the Security Engineer role at Atlassian. Unfortunately, we will not be moving forward. We encourage you to apply again in the future if another role aligns with your experience.",recruiting.company.com,REJECTED
Salesforce Recruiting Team — Update,"After careful review of your background and experience, we have decided not to proceed. We appreciate your interest and wish you the best in your career journey.",notifications.lever.co,REJECTED
Regarding your application at Nvidia,"Thank you for considering Nvidia as a potential employer. Unfortunately, unfortunately. We wish you success in your future job search.",smartrecruiters.com,REJECTED
Application outcome — Okta,"Thank you for taking the time to apply to Okta. After reviewing your application, unfortunately. We appreciate your interest and wish you the best in your career journey.",noreply.greenhouse.io,REJECTED
Netflix Recruiting Team — Update,"Thank you for considering Netflix as a potential employer. Unfortunately, we will not be progressing with your application. We encourage you to apply again in the future if another role aligns with your experience.",lever.co,REJECTED
Meta — Application Status (Data Analyst),"Thank you for your interest in the Data Analyst position at Meta. After careful consideration, we will not be progressing with your application. We wish you success in your future job search.",noreply.workday.com,REJECTED
Regarding your application at Salesforce,Thank you for your application to the ML Engineer position. We regret to inform you that we will not be moving forward. We appreciate the time and effort you invested in your application.,notifications.lever.co,REJECTED
Your Apple application,"After careful review of your background and experience, unfortunately. We appreciate your interest and wish you the best in your career journey.",noreply.greenhouse.io,REJECTED
VMware Careers — Site Reliability Engineer,"Thank you for taking the time to apply to VMware. After reviewing your application, we have concluded our hiring process. We appreciate your interest and wish you the best in your career journey.",icims.com,REJECTED
Your ServiceNow application,"Thank you for considering ServiceNow as a potential employer. Unfortunately, we regret to inform you. We appreciate your interest and wish you the best in your career journey.",jobs.company.com,REJECTED
DoorDash Recruiting Team — Update,"Thank you for taking the time to apply to DoorDash. After reviewing your application, we have chosen to move forward with other candidates. Thank you for your interest in our company and for applying.",noreply.workday.com,REJECTED
Your Intuit application,"We appreciate your application for the Site Reliability Engineer role at Intuit. Unfortunately, the position has been filled. We wish you success in your future job search.",icims.com,REJECTED
LinkedIn: Hiring decision for Software Engineer,"After careful review of your background and experience, we have decided not to proceed. We appreciate your interest and wish you the best in your career journey.",jobs.company.com,REJECTED
Application outcome — Uber,"Thank you for considering Uber as a potential employer. Unfortunately, your application was not selected. We encourage you to apply again in the future if another role aligns with your experience.",recruiting.company.com,REJECTED
Application outcome — Cisco,"Thank you for considering Cisco as a potential employer. Unfortunately, unfortunately. We wish you success in your future job search.",notifications.lever.co,REJECTED
Intuit: Hiring decision for Solutions Engineer,"We appreciate the opportunity to review your application. However, we have chosen to move forward with other candidates. We encourage you to apply again in the future if another role aligns with your experience.",greenhouse.io,REJECTED
Your Okta application,"Thank you for your interest in the Software Engineer position at Okta. After careful consideration, we have concluded our hiring process. We appreciate the time and effort you invested in your application.",notifications.lever.co,REJECTED
Application outcome — Uber,Thank you for your application to the Solutions Engineer position. We regret to inform you that your application was not selected. We encourage you to apply again in the future if another role aligns with your experience,icims.com,REJECTED
Coinbase — Application Status (Software Engineer),"We value your interest in joining Coinbase. At this time, we have decided not to proceed. Thank you for your interest in our company and for applying.",greenhouse.io,REJECTED
Nvidia Recruiting Team — Update,"We appreciate your application for the Software Engineer role at Nvidia. Unfortunately, your application was not selected. We appreciate your interest and wish you the best in your career journey.",careers.company.com,REJECTED
Application outcome — Meta,"We value your interest in joining Meta. At this time, we will not be moving forward. We appreciate the time and effort you invested in your application.",notifications.lever.co,REJECTED
